id,name,signature
Q87951,Maria Perschy,Maria PerschyII.jpg
Q88975,Heribert Prantl,Heribert-prantl-ffm-001.jpg
Q90562,Elsa Asenijeff,Signatur Asenijeff.jpg
Q90899,Richard Foerster,Richard Foerster signature.jpg
Q90955,Klaus Staeck,KlausStaeckAutogramm.jpg
Q92299,Birgit Schnieber-Jastram,Birgit Schnieber-Jastram.svg
Q93128,William Harvey,William Harvey signature.svg
Q93343,Percy Bysshe Shelley,Autograph Percy Bysshe Shelley.jpg
Q93479,Otto Robert Frisch,Otto Robert Frisch signature.svg
Q93957,Gary Cooper,Gary Cooper Signature.png
Q95270,Hannes Hegen,Hannes Hegen Autogramm.svg
Q95292,Susanne Uhlen,Susanne UhlenII.jpg
Q95443,Katja Lange-Müller,Katja-lange-mueller-2011-ffm-001.jpg
Q98669,Abel Seyler,Abel Seyler signature.png
Q99398,Matthäus Hipp,Matthaeus Hipp Unterschrift.JPG
Q99603,Joachim Erwin,Unterschrift Joachim Erwin 2008.png
Q100688,Wolfgang Johannes Bekh,Wolfgang Johannes Bekh Unterschrift.png
Q100845,Johano Strasser,Johano-strasser-2010-ffm-001.jpg
Q101547,Thabo Mbeki,Thabo Mbeki Signature.svg
Q103039,Arthur Benda,"Madame d'Ora & Ernst Benda, signature.jpg"
Q104000,Lauren Bacall,LaurenBacall.png
Q104027,Kirk Douglas,KirkDouglas.png
Q104603,Klaus Wagenbach,KlausWagenbachSignatur.jpg
Q104865,Vladimir Komarov,Vladimir Komarov signature.png
Q106231,Daniel Webster,Daniel Webster Signature.svg
Q106235,Hans-Dietrich Genscher,Signature1 Zwei plus Vier Vertrag.JPG
Q106367,Peter Walter,Peter Walter signature.png
Q107288,Liliuokalani,"Liliuokalani's signature (Anti-Annexation Protest Documents, June 17, 1897, Washington D C).svg"
Q107910,Richard Plüddemann,Pluedemann-autogr.jpg
Q108880,Robert F. Furchgott,Robert F. Furchgott.jpg
Q109919,Uwe Holtz,UweHoltzAutograph.jpg
Q110330,Ephraim Katzir,"Katzir, Ephraim signature.svg"
Q111314,Peer Augustinski,Peer AugustinskiII.jpg
Q112554,Karl Bruckner,BrucknerAutogr.jpg
Q113717,Theodor Vahlen,TheodorVahlenSignature.jpg
Q115338,Judith Kuckart,Judith-kuckart-ffm011.jpg
Q116353,Pierre Cérésole,Ceresole-sign-1930.jpg
Q119173,Adolf Glaser,Adolf Glaser Signatur.jpg
Q119255,Bill Ritter,Bill Ritter signature.svg
Q119329,Charles Wilkes,Charles Wilkes signature.png
Q120821,Paula Elise Karpinski,PaulaKarpinskiSignatur.jpg
Q120993,Amedeo Modigliani,"Modigliani, Amedeo 1884-1920 Signature.jpg"
Q122308,C. B. van Niel,Cbvanniel-sig.svg
Q122370,Gottfried Keller,Gottfried Keller signature.gif
Q123109,Oskar Freysinger,Oskar Freysinger signature.jpg
Q123280,Francis Crick,Francis Crick signature.svg
Q124115,Niels Henrik Abel,Niels Henrik Abel signature.png
Q124562,Xavier Mertz,Xavier Mertz signature.png
Q124610,Andreas Heusler,Autograph von Andreas Heusler (Altgermanist).jpeg
Q125029,Louis de Buade de Frontenac,Frontenac Signature.svg
Q126644,Solomon Porcius Sharp,Solomon-Sharp-sig.jpg
Q126687,Ingomar von Kieseritzky,Ingomarvonkieseritzky002.jpg
Q127332,Charlotte Brontë,Charlotte Bronte Signature.jpg
Q127366,Thrasyvoulos Zaimis,Thrasyvoulos Zaimis - ypografi.JPG
Q128126,Claude Lévi-Strauss,Signature levistrauss.jpg
Q128553,Kim Campbell,Kim Campbell Signature.svg
Q128563,Brian Mulroney,Brian Mulroney Signature.svg
Q128604,Lester B. Pearson,Lester B Pearson Signature 2.svg
Q128614,John Diefenbaker,John Diefenbaker Signature-.svg
Q128668,"João Carlos Saldanha de Oliveira Daun, 1st Duke of Saldanha",AssinaturaSaldanha.svg
Q128672,Charles Tupper,Charles Tupper Signature.svg
Q128933,Michaëlle Jean,Michaelle Jean Signature.svg
Q129155,Roger Martin du Gard,Signature Roger Martin du Gard.svg
Q129598,Daniel Coit Gilman,Daniel Coit Gilman Signature.svg
Q129987,William III,WilliamIII Sig.svg
Q130531,Hieronymus Bosch,Bosch-signature.svg
Q130834,Francis I of Austria,Francis II signature.jpg
Q130973,Leo Frank,Leo Frank Signature.png
Q131405,Louis Daguerre,Daguerre signature.svg
Q131412,"Mary, Queen of Scots",Marysign.jpg
Q131433,Shania Twain,Shania twain signature.png
Q131545,Harry Houdini,HoudiniSig.svg
Q131691,"Arthur Wellesley, 1st Duke of Wellington","Arthur Wellesley, 1st Duke of Wellington Signature.svg"
Q132701,Derek Walcott,Firma-Derek-Walcott.png
Q134180,Truman Capote,Truman Capote signature.svg
Q134262,Tennessee Williams,Tennessee Williams signature.svg
Q134798,Haruki Murakami,Haruki Murakami signture.svg
Q146906,Hussein of Jordan,Signature of Hussein I.svg
